Incident Number,Time in Alarm DateTime,Incident Date,Total Time Dispatch Notified to Last Unit Cleared(seconds),Incident Type Code,Incident Type,Location Street Address,Latitude,Longitude,Location ZIP
23-0037825,9/30/2023 21:13,9/30/2023,1561,150,"Outside rubbish fire, other",6398 Arrowwood Drive,32.642093,-97.180589,76017
23-0037886,10/1/2023 9:03,10/1/2023,1689,115,"Incinerator overload or malfunction, fire confined",334 FORT EDWARD Drive,32.611065,-97.111177,76002
23-0037901,10/1/2023 11:23,10/1/2023,1826,131,Passenger vehicle fire,South COOPER Street,32.626905,-97.135992,76018
23-0037914,10/1/2023 12:55,10/1/2023,1287,131,Passenger vehicle fire,MATLOCK Road,32.659788,-97.114938,76017
23-0037937,10/1/2023 15:38,10/1/2023,893,140,"Natural vegetation fire, other",INDIAN HILL Drive,32.653433,-97.082019,76018
23-0037960,10/1/2023 18:47,10/1/2023,2322,155,Outside stationary compactor/compacted trash fire,1021 North COMMERCIAL BLV,32.622106,-97.125925,76001
23-0038004,10/2/2023 2:23,10/2/2023,4694,111,Building fire,2416 FOREST OAKS Lane,32.772924,-97.066285,76006
23-0038044,10/2/2023 10:16,10/2/2023,2627,140,"Natural vegetation fire, other",1161 West CORPORATE Drive,32.764905,-97.06859,76006
23-0038224,10/3/2023 15:41,10/3/2023,1204,131,Passenger vehicle fire,I20 EB EXIT COLLINS,32.677606,-97.094509,76018
23-0038296,10/4/2023 10:00,10/4/2023,966,150,"Outside rubbish fire, other",4419 GREEN ACRES Courts,0,0,76017
23-0038481,10/5/2023 13:28,10/5/2023,682,131,Passenger vehicle fire,4801 South COOPER Street,32.668291,-97.134083,76017
23-0038523,10/5/2023 19:29,10/5/2023,6271,111,Building fire,8108 MODESTO Drive,32.61429,-97.124127,76001
23-0038659,10/6/2023 19:16,10/6/2023,3428,150,"Outside rubbish fire, other",2330 PERKINS Road,32.707008,-97.198643,76011
23-0038773,10/7/2023 19:49,10/7/2023,4849,111,Building fire,802 BUENA VISTA Drive,32.727637,-97.066005,76010
23-0038910,10/8/2023 22:00,10/8/2023,2202,113,"Cooking fire, confined to container",6401 ST LEONARD Drive,32.641319,-97.128235,76001
23-0038949,10/9/2023 8:02,10/9/2023,788,113,"Cooking fire, confined to container",708 SANFORD Court,32.743406,-97.1483,76012
23-0038996,10/9/2023 14:52,10/9/2023,1065,118,"Trash or rubbish fire, contained",1426 AUTUMNCREST Drive,32.631849,-97.089857,76002
23-0039072,10/9/2023 23:59,10/9/2023,3087,131,Passenger vehicle fire,2902 WOODSIDE Drive,32.697052,-97.174875,76016
23-0039303,10/11/2023 17:22,10/11/2023,2203,131,Passenger vehicle fire,NEW YORK Avenue,32.641175,-97.075159,76018
23-0039464,10/12/2023 22:54,10/12/2023,4146,111,Building fire,1506 LATRIUM PLC,32.719004,-97.065564,76010
23-0039505,10/13/2023 11:02,10/13/2023,1183,131,Passenger vehicle fire,805 COOPER SQUARE Circle,32.712354,-97.11699,76013
23-0039544,10/13/2023 16:38,10/13/2023,735,142,Brush or brush-and-grass mixture fire,1715 NUECES Trail,32.747205,-97.133783,76012
23-0039579,10/13/2023 21:14,10/13/2023,894,113,"Cooking fire, confined to container",1520 TWIN POST Court,32.698037,-97.087385,76014
23-0039755,10/15/2023 9:55,10/15/2023,826,151,"Outside rubbish, trash or waste fire",1000 CANTOR Drive,32.769221,-97.095945,76011
23-0039779,10/15/2023 14:23,10/15/2023,8116,160,"Special outside fire, other",702 IRISH GLEN Drive,32.688893,-97.099631,76014
23-0039843,10/15/2023 20:15,10/15/2023,1787,160,"Special outside fire, other",702 IRISH GLEN Drive,32.688455,-97.099807,76014
23-0039844,10/15/2023 20:28,10/15/2023,1583,154,Dumpster or other outside trash receptacle fire,424 West PARK ROW Drive,32.721105,-97.110321,76010
23-0039870,10/16/2023 6:33,10/16/2023,1001,132,Road freight or transport vehicle fire,,32.67389,-97.1349,76017
23-0039884,10/16/2023 8:39,10/16/2023,1410,160,"Special outside fire, other",North COLLINS Street,32.784512,-97.095404,76016
23-0039994,10/16/2023 21:42,10/16/2023,1574,111,Building fire,213 HOLLANDALE Circle,32.733692,-97.066955,76010
23-0040058,10/17/2023 11:21,10/17/2023,2241,113,"Cooking fire, confined to container",6501 South COOPER Street,32.640087,-97.134396,76001
23-0040213,10/18/2023 15:05,10/18/2023,2605,151,"Outside rubbish, trash or waste fire",3149 South COOPER Street,32.693667,-97.126879,76015
23-0040244,10/18/2023 19:07,10/18/2023,667,151,"Outside rubbish, trash or waste fire",1804 DAYTONA Drive,32.693116,-97.081146,76014
23-0040245,10/18/2023 19:13,10/18/2023,893,113,"Cooking fire, confined to container",509 North ELM Street,32.743719,-97.103896,76011
23-0040341,10/19/2023 10:47,10/19/2023,4419,131,Passenger vehicle fire,2207 PONTIAC Drive,32.726438,-97.14392,76013
23-0040411,10/19/2023 22:25,10/19/2023,989,151,"Outside rubbish, trash or waste fire",ALLEN Avenue,32.684336,-97.084933,76014
23-0040513,10/20/2023 16:10,10/20/2023,1446,137,Camper or recreational vehicle (RV) fire,8078 MANSFIELD Highway,32.613153,-97.185925,76001
23-0040514,10/20/2023 16:07,10/20/2023,2470,131,Passenger vehicle fire,I20 EB ENTER FM 157,32.675515,-97.133523,76017
23-0040553,10/20/2023 20:06,10/20/2023,1451,118,"Trash or rubbish fire, contained",3703 Fort Hunt Drive,32.678224,-97.166108,76016
23-0040567,10/20/2023 21:58,10/20/2023,2011,113,"Cooking fire, confined to container",2621 EASOM Circle,32.778377,-97.095834,76006
23-0040608,10/21/2023 9:56,10/21/2023,6330,111,Building fire,1010 East ARKANSAS Lane,32.705263,-97.095151,76010
23-0040616,10/21/2023 10:46,10/21/2023,1451,154,Dumpster or other outside trash receptacle fire,2118 East RANDOL MILL Road,32.747393,-97.074171,76011
23-0040630,10/21/2023 13:10,10/21/2023,567,118,"Trash or rubbish fire, contained",2100 LINCOLN Drive,32.767192,-97.105682,76011
23-0040641,10/21/2023 14:04,10/21/2023,2250,151,"Outside rubbish, trash or waste fire",1709 BAYOU Drive,32.6673,-97.081578,76018
23-0040734,10/22/2023 3:36,10/22/2023,3428,151,"Outside rubbish, trash or waste fire",500 DIXON Lane,32.73854,-97.150746,76012
23-0040773,10/22/2023 12:43,10/22/2023,400,113,"Cooking fire, confined to container",1221 BRITT Drive,32.718586,-97.125668,76013
23-0040809,10/22/2023 18:20,10/22/2023,222,150,"Outside rubbish fire, other",PECAN PARK Drive,32.748224,-97.131729,76012
23-0040898,10/23/2023 12:29,10/23/2023,1449,143,Grass fire,6609 ANGORA Trail,32.636582,-97.106532,76002
23-0040920,10/23/2023 15:06,10/23/2023,1185,154,Dumpster or other outside trash receptacle fire,1015 TENNESSEE Trail,32.650031,-97.12754,76017
23-0040944,10/23/2023 17:28,10/23/2023,1203,113,"Cooking fire, confined to container",2906 FRANCISCAN Drive,32.696149,-97.117932,76015
23-0040956,10/23/2023 18:56,10/23/2023,1629,113,"Cooking fire, confined to container",708 West COLONY Drive,32.642805,-97.115208,76001
23-0041107,10/24/2023 18:55,10/24/2023,1661,112,Fires in structure other than in a building,3149 South COOPER Street,32.693667,-97.126879,76015
23-0041194,10/25/2023 9:46,10/25/2023,791,140,"Natural vegetation fire, other",2129 HUNTINGTON Drive,32.729934,-97.072454,76010
23-0041574,10/27/2023 17:52,10/27/2023,2632,113,"Cooking fire, confined to container",6302 BLANEY Drive,32.642256,-97.178805,76001
23-0041699,10/28/2023 16:43,10/28/2023,2648,151,"Outside rubbish, trash or waste fire",781 East PARK ROW Drive,32.721029,-97.09964,76010
23-0041760,10/29/2023 2:53,10/29/2023,10397,111,Building fire,7006 PARK GREEN Drive,32.633061,-97.146844,76001
23-0042043,10/30/2023 22:59,10/30/2023,796,113,"Cooking fire, confined to container",1100 CANTOR Drive,32.769226,-97.097108,76011
23-0042195,11/1/2023 6:42,11/1/2023,3317,131,Passenger vehicle fire,SH 360 SB EXIT PARK ROW RMP,32.721234,-97.062655,76010
23-0042279,11/1/2023 20:02,11/1/2023,1454,113,"Cooking fire, confined to container",5504 ROLLING GREEN Road,32.656362,-97.120318,76017
23-0042294,11/1/2023 21:59,11/1/2023,466,154,Dumpster or other outside trash receptacle fire,1618 West RANDOL MILL Road,32.749731,-97.132951,76012
23-0042300,11/1/2023 23:09,11/1/2023,1223,111,Building fire,822 TIMBERLAKE Circle,32.727369,-97.048559,76010
23-0042436,11/2/2023 21:16,11/2/2023,2014,154,Dumpster or other outside trash receptacle fire,1415 WISCASSET Drive,32.722147,-97.06011,76010
23-0042665,11/4/2023 11:18,11/4/2023,2153,113,"Cooking fire, confined to container",1614 PAISLEY Drive,32.695318,-97.135254,76015
23-0042774,11/5/2023 0:14,11/5/2023,6758,131,Passenger vehicle fire,West ARBROOK BLV,32.68193,-97.123599,76017
23-0042857,11/5/2023 15:17,11/5/2023,488,143,Grass fire,SH 360 SB EXIT MAYFIELD RMP,32.691425,-97.062777,76014
23-0042925,11/5/2023 22:54,11/5/2023,3968,111,Building fire,2002 East MAYFIELD Road,32.691485,-97.075919,76014
23-0042987,11/6/2023 11:37,11/6/2023,2728,111,Building fire,615 SALEM Drive,32.695802,-97.102626,76014
23-0043006,11/6/2023 13:50,11/6/2023,1754,118,"Trash or rubbish fire, contained",2575 East ARKANSAS Lane,32.706526,-97.064617,76010
23-0043008,11/6/2023 14:03,11/6/2023,711,154,Dumpster or other outside trash receptacle fire,805 East ABRAM Street,32.735951,-97.098614,76010
23-0043010,11/6/2023 14:09,11/6/2023,570,150,"Outside rubbish fire, other",714 PEPPERIDGE Drive,32.701813,-97.101013,76014
23-0043033,11/6/2023 18:01,11/6/2023,1498,113,"Cooking fire, confined to container",1250 West PIONEER PWY,32.709029,-97.124655,76013
23-0043040,11/6/2023 18:26,11/6/2023,2247,151,"Outside rubbish, trash or waste fire",424 South COLLINS Street,32.729549,-97.09842,76010
23-0043063,11/6/2023 22:01,11/6/2023,1351,151,"Outside rubbish, trash or waste fire",North COLLINS Street,32.765578,-97.097126,76011
23-0043091,11/7/2023 6:37,11/7/2023,1463,160,"Special outside fire, other",1401 West DIVISION Street,32.737701,-97.127538,76010
23-0043323,11/8/2023 17:26,11/8/2023,1675,113,"Cooking fire, confined to container",2720 WESTCHESTER Drive,32.700734,-97.142658,76015
23-0043359,11/8/2023 22:19,11/8/2023,1459,111,Building fire,5745 CHELMSFORD Trail,32.651605,-97.075307,76018
23-0043405,11/9/2023 11:08,11/9/2023,1336,113,"Cooking fire, confined to container",2005 SPRUCE POINT Drive,32.712427,-97.076797,76010
23-0043565,11/10/2023 14:08,11/10/2023,1025,113,"Cooking fire, confined to container",515 North OAK Street,32.743782,-97.10873,76011
23-0043566,11/10/2023 14:02,11/10/2023,2896,111,Building fire,7020 GLENSHIRE Drive,32.63024,-97.111789,76002
23-0043579,11/10/2023 16:54,11/10/2023,2643,111,Building fire,701 FOREST HILLS Drive,32.768031,-97.104578,76011
23-0043636,11/11/2023 6:55,11/11/2023,3238,131,Passenger vehicle fire,SH 360 SB EXIT MAYFIELD RMP,32.691425,-97.062777,76014
23-0043657,11/11/2023 11:17,11/11/2023,1687,131,Passenger vehicle fire,South Highway 360,32.691668,-97.063448,76014
23-0043703,11/11/2023 17:23,11/11/2023,1871,118,"Trash or rubbish fire, contained",1504 NANDINA Drive,32.682802,-97.087369,76014
23-0043783,11/12/2023 10:28,11/12/2023,6319,111,Building fire,810 North OAK Street,32.746805,-97.109335,76011
23-0043795,11/12/2023 12:43,11/12/2023,1900,154,Dumpster or other outside trash receptacle fire,2909 East ABRAM Street,32.738697,-97.057834,76010
23-0043876,11/12/2023 23:41,11/12/2023,2868,111,Building fire,1604 BEACH Lane,32.689361,-97.085795,76014
23-0043877,11/13/2023 0:28,11/13/2023,618,154,Dumpster or other outside trash receptacle fire,AT&T Way,32.742751,-97.092014,76010
23-0043938,11/13/2023 12:02,11/13/2023,5013,111,Building fire,611 East LAMAR BLV,32.762911,-97.104614,76011
23-0043955,11/13/2023 14:33,11/13/2023,2763,113,"Cooking fire, confined to container",2308 CYPRESS CREEK Lane,32.707295,-97.069131,76010
23-0043988,11/13/2023 18:20,11/13/2023,1821,118,"Trash or rubbish fire, contained",908 East PIONEER PWY,32.708048,-97.096226,76010
23-0043991,11/13/2023 18:48,11/13/2023,1172,113,"Cooking fire, confined to container",703 CREEK WALK PLC,32.687727,-97.115999,76015
23-0044062,11/14/2023 9:19,11/14/2023,1053,113,"Cooking fire, confined to container",6801 PACES Trail,32.667067,-97.215632,76017
23-0044092,11/14/2023 13:56,11/14/2023,835,151,"Outside rubbish, trash or waste fire",615 RAINBOW CREEK Court,32.742814,-97.156073,76012
23-0044150,11/14/2023 21:00,11/14/2023,2962,131,Passenger vehicle fire,2619 ALEXIS Avenue,32.781268,-97.063597,76006
23-0044152,11/14/2023 20:31,11/14/2023,6105,111,Building fire,1001 South CENTER Street,32.726755,-97.106487,76010
23-0044175,11/15/2023 6:56,11/15/2023,1002,142,Brush or brush-and-grass mixture fire,1602 SKYLARK Drive,32.723977,-97.084621,76010
23-0044251,11/15/2023 19:12,11/15/2023,780,113,"Cooking fire, confined to container",706 SALSBURY Circle,32.699194,-97.100486,76014
23-0044382,11/16/2023 20:10,11/16/2023,761,131,Passenger vehicle fire,5298 South WATSON Road,32.662939,-97.06334,76018
23-0044458,11/17/2023 10:21,11/17/2023,4741,111,Building fire,5611 MANSFIELD Road,32.654757,-97.136262,76017
23-0044589,11/18/2023 13:40,11/18/2023,977,142,Brush or brush-and-grass mixture fire,403 RED COAT Lane,32.64457,-97.109509,76002
23-0044668,11/19/2023 1:17,11/19/2023,2988,111,Building fire,2412 OAK Manor,32.742512,-97.148684,76012
23-0044691,11/19/2023 8:33,11/19/2023,2156,113,"Cooking fire, confined to container",2218 SWEETPEA Lane,32.771468,-97.071532,76006
23-0044842,11/20/2023 12:16,11/20/2023,1099,151,"Outside rubbish, trash or waste fire",316 IBERIS Drive,32.663652,-97.108382,76018
23-0044913,11/20/2023 19:21,11/20/2023,3432,118,"Trash or rubbish fire, contained",1001 South CENTER Street,32.726755,-97.106487,76010
23-0044930,11/20/2023 22:21,11/20/2023,1376,151,"Outside rubbish, trash or waste fire",6107 CREEKWAY Lane,32.646949,-97.124176,76017
23-0044949,11/21/2023 3:06,11/21/2023,1329,141,"Forest, woods or wildland fire",5727 SAGE BLOOM Drive,32.665227,-97.195352,76017
23-0045044,11/21/2023 19:19,11/21/2023,1371,131,Passenger vehicle fire,I30 EB ENTER FIELDER RMP,32.75968,-97.135221,76011
23-0045083,11/22/2023 4:12,11/22/2023,12058,131,Passenger vehicle fire,622 East FRONT Street,32.737482,-97.100168,76011
23-0045086,11/22/2023 5:32,11/22/2023,8479,111,Building fire,2525 East ABRAM Street,32.73553,-97.066115,76010
23-0045137,11/22/2023 15:02,11/22/2023,3602,111,Building fire,3811 South COOPER Street,32.684116,-97.132523,76015
23-0045148,11/22/2023 17:01,11/22/2023,6967,111,Building fire,5510 MATLOCK Road,32.654699,-97.115074,76018
23-0045172,11/22/2023 19:40,11/22/2023,1139,113,"Cooking fire, confined to container",5606 TRAIL CREST Drive,32.668295,-97.191768,76017
23-0045185,11/22/2023 20:59,11/22/2023,1848,154,Dumpster or other outside trash receptacle fire,MULLINS Drive,32.704734,-97.103406,76014
23-0045276,11/23/2023 16:30,11/23/2023,1419,113,"Cooking fire, confined to container",4935 OSAGE Drive,32.665546,-97.112462,76018
23-0045307,11/23/2023 19:29,11/23/2023,492,131,Passenger vehicle fire,3201 East PIONEER PWY,32.712905,-97.050272,76010
23-0045352,11/24/2023 2:54,11/24/2023,2012,118,"Trash or rubbish fire, contained",415 North COLLINS Street,32.742779,-97.097375,76011
23-0045477,11/25/2023 1:48,11/25/2023,1144,154,Dumpster or other outside trash receptacle fire,2235 East PIONEER PWY,32.712804,-97.069927,76010
23-0045560,11/25/2023 19:13,11/25/2023,1327,113,"Cooking fire, confined to container",2520 BROOKLINE Court,32.782764,-97.065352,76006
23-0045578,11/25/2023 20:55,11/25/2023,1784,111,Building fire,1009 LOCH LOMOND Drive,32.74765,-97.159228,76012
23-0045609,11/26/2023 2:36,11/26/2023,9357,111,Building fire,3316 REDSTONE Drive,32.640426,-97.16168,76001
23-0045641,11/26/2023 11:30,11/26/2023,582,118,"Trash or rubbish fire, contained",2522 East PARK ROW Drive,32.720802,-97.063147,76010
23-0045706,11/26/2023 22:20,11/26/2023,1676,118,"Trash or rubbish fire, contained",1050 Northeast GREEN OAKS BLV,32.784559,-97.094625,76011
23-0045747,11/27/2023 7:40,11/27/2023,2049,131,Passenger vehicle fire,7700 South WATSON Road,32.626186,-97.070692,75052
23-0045785,11/27/2023 12:44,11/27/2023,2896,131,Passenger vehicle fire,1400 East I20 Highway,32.677151,-97.089043,76018
23-0045885,11/28/2023 5:16,11/28/2023,3035,111,Building fire,1805 OLD MILL Drive,32.763106,-97.091374,76011
23-0046096,11/29/2023 20:01,11/29/2023,850,150,"Outside rubbish fire, other",1200 Southeast Parkway,32.641273,-97.092011,76002
23-0046140,11/30/2023 8:11,11/30/2023,4679,111,Building fire,8339 WESSON Road,32.60756,-97.097187,76002
23-0046155,11/30/2023 10:47,11/30/2023,1499,113,"Cooking fire, confined to container",848 TIMBERLAKE Drive,32.726845,-97.048529,76010
23-0046172,11/30/2023 12:06,11/30/2023,1766,113,"Cooking fire, confined to container",8104 SHOSHONI Drive,32.613634,-97.114785,76002
23-0046314,12/1/2023 7:56,12/1/2023,2435,130,"Mobile property (vehicle) fire, other",3715 AVENUE E East,32.756988,-97.041888,76011
23-0046418,12/1/2023 22:38,12/1/2023,3097,141,"Forest, woods or wildland fire",CARTER Drive,32.706147,-97.06777,76010
23-0046519,12/2/2023 19:03,12/2/2023,1667,113,"Cooking fire, confined to container",909 SPRINGLEAF Lane,32.64432,-97.097343,76018
23-0046643,12/3/2023 15:36,12/3/2023,1828,154,Dumpster or other outside trash receptacle fire,2209 BROWNING Drive,32.708062,-97.085402,76010
23-0046897,12/5/2023 10:43,12/5/2023,1332,142,Brush or brush-and-grass mixture fire,1919 South COOPER Street,32.713959,-97.114644,76013
23-0046998,12/6/2023 5:16,12/6/2023,3351,132,Road freight or transport vehicle fire,COOPER Court,32.754984,-97.114266,76012
23-0047012,12/6/2023 8:29,12/6/2023,858,150,"Outside rubbish fire, other",1108 ROYALCREST Drive,32.650135,-97.130479,76017
23-0047052,12/6/2023 13:04,12/6/2023,1484,113,"Cooking fire, confined to container",1620 RIDGE HAVEN Drive,32.762216,-97.087015,76011
23-0047096,12/6/2023 16:53,12/6/2023,6210,111,Building fire,1404 CHERRY Drive,32.707752,-97.129094,76013
23-0047109,12/6/2023 18:54,12/6/2023,2184,131,Passenger vehicle fire,1304 East COPELAND Road,32.759036,-97.091779,76011
23-0047111,12/6/2023 18:59,12/6/2023,2037,131,Passenger vehicle fire,910 WARRINGTON Court,32.701031,-97.095587,76014
23-0047125,12/6/2023 21:21,12/6/2023,4144,131,Passenger vehicle fire,608 BIGGS Terrace,32.715635,-97.100799,76010
23-0047212,12/7/2023 16:03,12/7/2023,2610,131,Passenger vehicle fire,3650 East I30 Freeway,32.759477,-97.042595,76011
23-0047332,12/8/2023 15:38,12/8/2023,1232,154,Dumpster or other outside trash receptacle fire,East LAMAR BLV,32.763479,-97.085365,76011
23-0047378,12/8/2023 20:55,12/8/2023,780,151,"Outside rubbish, trash or waste fire",SH 360 SB ENTER DIVISION RMP,32.735434,-97.062591,76010
23-0047435,12/9/2023 9:20,12/9/2023,5157,111,Building fire,3103 East PARK ROW Drive,32.72201,-97.053689,76010
23-0047460,12/9/2023 13:46,12/9/2023,2046,131,Passenger vehicle fire,3811 South COOPER Street,32.684116,-97.132523,76015
23-0047494,12/9/2023 19:02,12/9/2023,844,154,Dumpster or other outside trash receptacle fire,901 West PIONEER PWY,32.708792,-97.116288,76013
23-0047532,12/9/2023 23:21,12/9/2023,4421,111,Building fire,1112 GIBBINS Road,32.752792,-97.111324,76011
23-0047567,12/10/2023 8:45,12/10/2023,2074,131,Passenger vehicle fire,900 East PIONEER PWY,32.708053,-97.097568,76016
23-0047628,12/10/2023 16:41,12/10/2023,1227,113,"Cooking fire, confined to container",709 MAGNOLIA Street,32.743022,-97.119932,76012
23-0047666,12/10/2023 21:03,12/10/2023,1292,154,Dumpster or other outside trash receptacle fire,1701 West RANDOL MILL Road,32.750229,-97.133265,76012
23-0047721,12/11/2023 6:41,12/11/2023,3629,131,Passenger vehicle fire,1121 UTA BLV,32.734341,-97.121664,76013
23-0047732,12/11/2023 9:25,12/11/2023,2229,131,Passenger vehicle fire,SH 360 SB EXIT PARK ROW RMP,32.721234,-97.062655,76010
23-0047733,12/11/2023 9:52,12/11/2023,842,154,Dumpster or other outside trash receptacle fire,1634 NEW YORK Avenue,32.720889,-97.080291,76014
23-0047762,12/11/2023 13:44,12/11/2023,2961,142,Brush or brush-and-grass mixture fire,2308 North COLLINS Street,32.772621,-97.097121,76011
23-0047764,12/11/2023 14:40,12/11/2023,1117,151,"Outside rubbish, trash or waste fire",815 SENIOR CREEK Drive,32.731705,-97.099013,76010
23-0047799,12/11/2023 19:06,12/11/2023,1827,113,"Cooking fire, confined to container",501 SUMMIT Avenue,32.732347,-97.121681,76013
23-0047801,12/11/2023 19:41,12/11/2023,658,140,"Natural vegetation fire, other",821 East DIVISION Street,32.73946,-97.097863,76010
23-0047815,12/11/2023 20:50,12/11/2023,3774,131,Passenger vehicle fire,3811 South COOPER Street,32.684116,-97.132523,76015
23-0047871,12/12/2023 10:46,12/12/2023,2680,111,Building fire,1200 West SUBLETT Road,32.648601,-97.131923,76017
23-0047926,12/12/2023 19:03,12/12/2023,812,113,"Cooking fire, confined to container",1410 SUMMER BROOK Circle,32.765264,-97.090489,76011
23-0047941,12/12/2023 21:57,12/12/2023,1366,154,Dumpster or other outside trash receptacle fire,1638 PATIO Terrace,32.719004,-97.065564,76010
23-0048064,12/13/2023 18:34,12/13/2023,966,140,"Natural vegetation fire, other",2116 FERNDALE Lane,32.770085,-97.069625,76006
23-0048214,12/14/2023 19:43,12/14/2023,3258,114,"Chimney or flue fire, confined to chimney or flue",1904 ROCKCLIFF Court,32.766218,-97.140563,76012
23-0048250,12/15/2023 6:22,12/15/2023,2034,112,Fires in structure other than in a building,3424 West I20 Highway,32.674076,-97.164185,76017
23-0048507,12/16/2023 18:45,12/16/2023,1163,113,"Cooking fire, confined to container",401 HOLLANDALE Circle,32.733692,-97.066955,76010
23-0048528,12/16/2023 20:29,12/16/2023,3543,131,Passenger vehicle fire,2451 East BARDIN Road,32.673419,-97.066666,76018
23-0048554,12/17/2023 0:44,12/17/2023,1793,131,Passenger vehicle fire,1800 West GREEN OAKS BLV,32.717543,-97.184138,76013
23-0048571,12/17/2023 3:43,12/17/2023,879,118,"Trash or rubbish fire, contained",PINEHILL Drive,32.644799,-97.10789,76018
23-0048625,12/17/2023 15:16,12/17/2023,1758,118,"Trash or rubbish fire, contained",714 GARDEN SHADOW Lane,32.744935,-97.101147,76011
23-0048651,12/17/2023 17:59,12/17/2023,1009,150,"Outside rubbish fire, other",1402 cardinal Street,32.725003,-97.08889,76010
23-0048689,12/17/2023 21:59,12/17/2023,5785,111,Building fire,3909 RUSTIC FOREST Trail,32.684552,-97.19672,76016
23-0048744,12/18/2023 9:47,12/18/2023,802,154,Dumpster or other outside trash receptacle fire,1500 East LAMAR BLV,32.764554,-97.08969,76011
23-0048823,12/18/2023 19:50,12/18/2023,838,140,"Natural vegetation fire, other",515 East NORTH Street,32.740372,-97.100864,76011
23-0048847,12/19/2023 1:20,12/19/2023,3972,142,Brush or brush-and-grass mixture fire,West DIVISION Street,32.735911,-97.149137,76013
23-0048851,12/19/2023 2:47,12/19/2023,2766,131,Passenger vehicle fire,5600 NEW YORK Avenue,32.655096,-97.077068,76018
23-0048888,12/19/2023 9:30,12/19/2023,1246,151,"Outside rubbish, trash or waste fire",3900 West DIVISION Street,32.732456,-97.166335,76012
23-0048901,12/19/2023 10:50,12/19/2023,574,113,"Cooking fire, confined to container",1010 East ARKANSAS Lane,32.705263,-97.095151,76010
23-0048934,12/19/2023 14:50,12/19/2023,7428,111,Building fire,3311 COUNTRY CLUB Road,32.716554,-97.161657,76013
23-0048935,12/19/2023 14:49,12/19/2023,2099,117,"Commercial Compactor fire, confined to rubbish",800 West STEPHENS Street,32.674002,-97.118033,76017
23-0049165,12/21/2023 8:31,12/21/2023,1835,113,"Cooking fire, confined to container",1228 ENCLAVE Circle,32.751199,-97.091117,76011
23-0049241,12/21/2023 18:19,12/21/2023,1581,114,"Chimney or flue fire, confined to chimney or flue",1107 BRIGHTON Drive,32.773962,-97.121752,76012
23-0049387,12/22/2023 18:50,12/22/2023,636,113,"Cooking fire, confined to container",707 East SANFORD Street,32.743086,-97.099438,76011
23-0049556,12/23/2023 22:48,12/23/2023,3953,111,Building fire,1812 BLUE DANUBE Street,32.690734,-97.135805,76015
23-0049673,12/24/2023 19:00,12/24/2023,5489,112,Fires in structure other than in a building,2919 East DIVISION Street,32.744117,-97.057083,76011
23-0049707,12/24/2023 23:46,12/24/2023,1661,131,Passenger vehicle fire,2301 BLUE SAGE Lane,32.706168,-97.109297,76014
23-0049757,12/25/2023 11:41,12/25/2023,1962,154,Dumpster or other outside trash receptacle fire,2011 OAK POINT Drive,32.712427,-97.076797,76010
23-0049795,12/25/2023 17:06,12/25/2023,1509,154,Dumpster or other outside trash receptacle fire,2215 HARRIETT Street,32.734065,-97.0697,76010
23-0049825,12/25/2023 22:01,12/25/2023,1086,113,"Cooking fire, confined to container",6405 PARKMONT Drive,32.641921,-97.137911,76001
23-0049892,12/26/2023 14:27,12/26/2023,1578,154,Dumpster or other outside trash receptacle fire,725 PIERCE Drive,32.768707,-97.101295,76011
23-0049903,12/26/2023 16:28,12/26/2023,911,162,Outside equipment fire,6400 TIFFANY OAKS Lane,32.694147,-97.2071,76016
23-0049934,12/26/2023 19:07,12/26/2023,7576,131,Passenger vehicle fire,405 ROCKGATE Court,32.773504,-97.112529,76011
23-0049942,12/26/2023 21:38,12/26/2023,2653,131,Passenger vehicle fire,1100 East I30 Freeway,32.759533,-97.096861,76011
23-0050066,12/28/2023 0:04,12/28/2023,8174,111,Building fire,1134 DEER VALLEY Lane,32.638929,-97.131066,76001
23-0050102,12/28/2023 8:48,12/28/2023,10940,111,Building fire,1134 DEER VALLEY Lane,32.638929,-97.131066,76001
23-0050153,12/28/2023 17:03,12/28/2023,1460,161,Outside storage fire,616 GIBBINS Court,32.755492,-97.113611,76011
23-0050178,12/28/2023 19:59,12/28/2023,1033,113,"Cooking fire, confined to container",7205 LAKE WHITNEY Drive,32.628837,-97.074239,76002
23-0050200,12/28/2023 22:23,12/28/2023,11847,111,Building fire,501 TISH Circle,32.783294,-97.111035,76006
23-0050250,12/29/2023 11:40,12/29/2023,1161,113,"Cooking fire, confined to container",6100 CREEKWAY Lane,32.646949,-97.124176,76017
23-0050252,12/29/2023 11:52,12/29/2023,1545,154,Dumpster or other outside trash receptacle fire,2618 South COOPER Street,32.701507,-97.121126,76015
23-0050429,12/30/2023 13:55,12/30/2023,714,151,"Outside rubbish, trash or waste fire",2905 HANOVER Drive,32.695955,-97.085621,76014
23-0050458,12/30/2023 15:49,12/30/2023,2623,131,Passenger vehicle fire,1401 East PIONEER PWY,32.708123,-97.089467,76010
23-0050561,12/31/2023 6:57,12/31/2023,566,160,"Special outside fire, other",East PARK ROW Drive,32.720838,-97.066862,76010
23-0050629,12/31/2023 19:37,12/31/2023,497,113,"Cooking fire, confined to container",1600 JONES Drive,32.719777,-97.134405,76013
